"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity","Qty"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unsafe-member-access","src/components/App.tsx; src/components/Cell.tsx; src/components/HeaderCell.tsx; src/components/Table.tsx; src/components/Toolbar.tsx; src/features/asciidraw/index.ts; src/features/asciidraw/ui/AsciiCodeblockRenderer.ts; src/features/asciidraw/ui/AsciiDrawModal.ts; src/features/asciidraw/ui/AsciiModals.ts; src/features/bubblegraph/bubbleGraphView.ts; src/features/bubblegraph/graphBuilder.ts; src/features/codeblock/scaler.ts; src/features/hub/settingsHub.ts; src/features/hub/vaultConfig.ts; src/features/leaflet/bases/leaflet-map/control/container.ts; src/features/leaflet/bases/leaflet-map/control/sub/captureView.ts; src/features/leaflet/bases/leaflet-map/control/sub/captureZoom.ts; src/features/leaflet/bases/leaflet-map/control/sub/copy.ts; src/features/leaflet/bases/leaflet-map/control/sub/measure.ts; src/features/leaflet/bases/leaflet-map/control/sub/setStartView.ts; src/features/leaflet/bases/leaflet-map/control/subControl.ts; src/features/leaflet/bases/leaflet-map/imageLoader.ts; src/features/leaflet/bases/leaflet-map/map.ts; src/features/leaflet/bases/leaflet-map/marker.ts; src/features/leaflet/bases/leaflet-map/view.ts; src/features/leaflet/icons/iconManager.ts; src/features/leaflet/properties/components/iconSuggest.ts; src/features/leaflet/properties/components/markerAdd.ts; src/features/leaflet/properties/components/markerModal.ts; src/features/leaflet/properties/components/markerPropertyWidget.ts","Unsafe member access on an error or any typed value","Warning","4746"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unsafe-call","General / Release Assets","Unsafe call of an error or any typed value","Warning","4244"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unsafe-assignment","General / Release Assets","Unsafe assignment of an error or any typed value","Warning","2431"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unsafe-argument","General / Release Assets","Passes unsafe values into typed parameters","Warning","545"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unsafe-return","General / Release Assets","Returns unsafe values from typed code","Warning","477"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-explicit-any","General / Release Assets","Unexpected any. Specify a different type.","Warning","289"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","obsidianmd/prefer-create-el","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts; src/features/asciidraw/ui/AsciiDrawModal.ts","Uses document.createElement instead of Obsidian's createEl helpers","Warning","87"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unnecessary-type-assertion","General / Release Assets","This assertion is unnecessary since it does not change the type of the expression.","Warning","73"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","styles/no-important","styles.css","Avoid !important — override styles by increasing selector specificity or using CSS variables instead.","Warning","57"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-floating-promises","src/features/asciidraw/ui/AsciiDrawModal.ts","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.","Warning","46"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-redundant-type-constituents","General / Release Assets","'error' type that acts as 'any' and overrides all other types in this union type","Warning","26"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-unnecessary-type-assertion","General / Release Assets","This assertion is unnecessary since the receiver accepts the original type of the expression.","Warning","15"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","no-empty","General / Release Assets","Empty block statement.","Warning","5"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","no-useless-escape","General / Release Assets","Unnecessary escape character: \/.","Warning","5"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-misused-promises","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts","Promise returned in function argument where a void return was expected.","Warning","4"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","obsidianmd/settings-tab/get-setting-definitions","General / Release Assets","This PluginSettingTab does not implement getSettingDefinitions(); its settings will not appear in Obsidian's settings search for users on 1.13.0 or later. Consider adopting the declarative settings API.","Warning","3"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","no-console","General / Release Assets","Avoid unnecessary logging to console","Warning","3"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","compatibility/extended-system-fonts","General / Release Assets","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8","Warning","3"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","obsidianmd/ui/sentence-case","src/features/asciidraw/ui/AsciiCodeblockRenderer.ts; src/features/asciidraw/ui/AsciiDrawModal.ts","Use sentence case for UI text","Warning","48"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","window.requestAnimationFrame","General / Release Assets","Use 'window.requestAnimationFrame()' instead of 'requestAnimationFrame()' for popout window compatibility.","Warning","2"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-misused-promises","General / Release Assets","Expected non-Promise value in a boolean conditional.","Warning","2"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-misused-promises","General / Release Assets","Promise-returning function provided to property where a void return was expected.","Warning","2"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","compatibility/css-scrollbar","General / Release Assets","Unexpected browser feature ""css-scrollbar"" is only partially supported by Obsidian 1.5.8","Warning","2"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-redundant-type-constituents","General / Release Assets","""single"" | ""double"" | ""ascii"" | ""dashed"" is overridden by string in this union type.","Warning","1"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","obsidianmd/hardcoded-config-path","General / Release Assets","Obsidian's configuration folder is not necessarily .obsidian; it can be configured by the user. Use Vault#configDir to get the current value","Warning","1"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","@typescript-eslint/no-misused-promises","General / Release Assets","Promise-returning function provided to attribute where a void return was expected.","Warning","1"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Warnings","compatibility/text-decoration","General / Release Assets","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8","Warning","1"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Other","Vault Enumeration","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Info","1"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Other","Clipboard Access","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Info","1"
"PakCLI Table","1.0.35","Obsidian-Official-Community","Other","Dynamic Code Execution","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Info","1"
