"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/explorer/activateView.ts:21","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/globalTables/FileConfig.ts:15","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/globalTables/FileConfig.ts:27","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/globalTables/FileConfig.ts:35","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/receiptScanner/components/ReceiptScanner.tsx:644","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/receiptScanner/components/ReceiptScanner.tsx:1539","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/receiptScanner/components/ReceiptScanner.tsx:1578","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/sync/sync/sync.ts:124","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/sync/syncStrategy/CsvFileSyncStrategy.ts:54","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/sync/syncStrategy/JSONFileSyncStrategy.ts:40","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/sync/syncStrategy/JsonlFileSyncStrategy.ts:33","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/sync/syncStrategy/MarkdownTableSyncStrategy.ts:67","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/syntaxHighlight/cellParser/parser/checkbox.ts:65","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/syntaxHighlight/cellParser/parser/image.ts:27","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/modules/syntaxHighlight/cellParser/parser/image.ts:33","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/csvConfig.ts:29","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/csvConfig.ts:50","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/suggesters.ts:6","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/suggesters.ts:30","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/suggesters.ts:40","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/suggesters.ts:62","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/suggesters.ts:72","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/suggesters.ts:94","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/views.ts:14","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/sqlseal/utils/views.ts:22","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/tree/ui/folder-suggest.ts:3","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
"PakCLI Table","1.0.8","Obsidian-Official-Community","Source code","Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","src/features/tree/ui/folder-suggest.ts:45","Found Uses Obsidian APIs newer than the declared minAppVersion obsidianmd/no-unsupported-api","Error"
