"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity","Qty"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unsafe member access on an error or any typed value	4339","General / Release Assets","Unsafe member access on an error or any typed value	4339","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unsafe call of an error or any typed value	4010","General / Release Assets","Unsafe call of an error or any typed value	4010","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unsafe assignment of an error or any typed value	2162","General / Release Assets","Unsafe assignment of an error or any typed value	2162","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Passes unsafe values into typed parameters	450","General / Release Assets","Passes unsafe values into typed parameters	450","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Returns unsafe values from typed code	413","General / Release Assets","Returns unsafe values from typed code	413","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Uses document.createElement instead of Obsidian's createEl helpers	100","General / Release Assets","Uses document.createElement instead of Obsidian's createEl helpers	100","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unexpected any. Specify a different type.	68","General / Release Assets","Unexpected any. Specify a different type.	68","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.	42","General / Release Assets","Promises must be awaited; end with a call to .catch; end with a call to .then with a rejection handler or be explicitly marked as ignored with the void operator.	42","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","'error' type that acts as 'any' and overrides all other types in this union type	24","General / Release Assets","'error' type that acts as 'any' and overrides all other types in this union type	24","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","This assertion is unnecessary since it does not change the type of the expression.	23","General / Release Assets","This assertion is unnecessary since it does not change the type of the expression.	23","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","This assertion is unnecessary since the receiver accepts the original type of the expression.	12","General / Release Assets","This assertion is unnecessary since the receiver accepts the original type of the expression.	12","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Empty block statement.	7","General / Release Assets","Empty block statement.	7","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Promise returned in function argument where a void return was expected.	3","General / Release Assets","Promise returned in function argument where a void return was expected.	3","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Avoid unnecessary logging to console	3","General / Release Assets","Avoid unnecessary logging to console	3","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8	3","General / Release Assets","Unexpected browser feature ""extended-system-fonts"" is not supported by Obsidian 1.5.8	3","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Expected non-Promise value in a boolean conditional.	2","General / Release Assets","Expected non-Promise value in a boolean conditional.	2","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Promise-returning function provided to property where a void return was expected.	2","General / Release Assets","Promise-returning function provided to property where a void return was expected.	2","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unexpected browser feature ""css-scrollbar"" is only partially supported by Obsidian 1.5.8	2","General / Release Assets","Unexpected browser feature ""css-scrollbar"" is only partially supported by Obsidian 1.5.8	2","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","""single"" | ""double"" | ""ascii"" | ""dashed"" is overridden by string in this union type.	1","General / Release Assets","""single"" | ""double"" | ""ascii"" | ""dashed"" is overridden by string in this union type.	1","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Warnings","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8	1","General / Release Assets","Unexpected browser feature ""text-decoration"" is only partially supported by Obsidian 1.5.8	1","Warning","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'evaluateFormula' is defined but never used.	2","General / Release Assets","'evaluateFormula' is defined but never used.	2","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'formatCalculationResult' is defined but never used.	2","General / Release Assets","'formatCalculationResult' is defined but never used.	2","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'executeTextQuery' is defined but never used.	2","General / Release Assets","'executeTextQuery' is defined but never used.	2","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","General / Release Assets","Vault Enumeration: Enumerates all files in the vault (vault.getFiles; getMarkdownFiles; etc.). Gives the plugin access to every file path in the vault.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","General / Release Assets","Clipboard Access: Reads or writes the system clipboard. May expose content copied from outside Obsidian.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","General / Release Assets","Dynamic Code Execution: Executes dynamically generated code via eval() or new Function(). Prevents full static analysis of plugin behavior.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'BubbleEdge' is defined but never used.","General / Release Assets","'BubbleEdge' is defined but never used.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'InspectorData' is defined but never used.","General / Release Assets","'InspectorData' is defined but never used.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'maxWaveR' is assigned a value but never used.","General / Release Assets","'maxWaveR' is assigned a value but never used.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'containerStyle' is assigned a value but never used.","General / Release Assets","'containerStyle' is assigned a value but never used.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'parseTextQuery' is defined but never used.","General / Release Assets","'parseTextQuery' is defined but never used.","Info","1"
"PakCLI Table","1.0.38","Obsidian-Official-Community","Other","'App' is defined but never used.","General / Release Assets","'App' is defined but never used.","Info","1"
