"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:71","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:91","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:104","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:138","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:148","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:154","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:164","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:203","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:230","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:304","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:435","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:558","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:571","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:576","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:596","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:612","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/settingsHub.ts:762","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/hub/vaultConfig.ts:4","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/leaflet/bases/leaflet-map/view.ts:179","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","src/features/sqlseal/modules/explorer/activateView.ts:21","Unsafe member access on an error or any typed value @typescript-eslint/no-unsafe-member-access","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Obsidian configuration folder is not necessarily .obsidian; use Vault#configDir","General / Vault Configuration","Obsidian configuration folder is not necessarily .obsidian; it can be configured by the user. Use Vault#configDir to get current value","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","PluginSettingTab does not implement getSettingDefinitions()","General / Settings","PluginSettingTab does not implement getSettingDefinitions(); settings will not appear in settings search on 1.13.0+","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","display is deprecated since 1.13.0","General / Settings","display is deprecated. Since 1.13.0. Use getSettingDefinitions instead.","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Uses document.createElement instead of Obsidian createEl helpers","General / DOM Creation","Uses document.createElement instead of Obsidian createEl helpers","Warning"
"PakCLI Table","1.0.27","Obsidian-Official-Community","Source code","Avoid !important in styles","General / CSS Styles","Avoid !important — override styles by increasing selector specificity or using CSS variables instead","Warning"
