"Plugin","Version","Type","Category","Rule_Or_Check","File_Location","Message","Severity"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected duplicate \"font-size\" (6 occurrences)","src/styles/leaflet.css","Unexpected duplicate \"font-size\" (6 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Use 'window.setTimeout()' instead of 'setTimeout()' (5 occurrences)","General / Window Globals","Use 'window.setTimeout()' instead of 'setTimeout()' for popout window compatibility (5 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected duplicate \"pointer-events\" (4 occurrences)","src/styles/leaflet.css","Unexpected duplicate \"pointer-events\" (4 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","This PluginSettingTab does not implement getSettingDefinitions() (3 occurrences)","General / Settings","This PluginSettingTab does not implement getSettingDefinitions(); its settings will not appear in Obsidian's settings search for users on 1.13.0 or later (3 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","display is deprecated since 1.13.0 (11 occurrences)","General / Settings","display is deprecated. Since 1.13.0. Use getSettingDefinitions instead (11 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected browser feature \"extended-system-fonts\" is not supported by Obsidian 1.5.8 (3 occurrences)","General / CSS Styles","Unexpected browser feature \"extended-system-fonts\" is not supported by Obsidian 1.5.8 (3 occurrences)","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected browser feature \"css-text-indent\" is only partially supported by Obsidian 1.5.8 (2 occurrences)","src/styles/leaflet.css:523","Unexpected browser feature \"css-text-indent\" is only partially supported by Obsidian 1.5.8","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected browser feature \"css-scrollbar\" is only partially supported by Obsidian 1.5.8 (2 occurrences)","styles.css:1","Unexpected browser feature \"css-scrollbar\" is only partially supported by Obsidian 1.5.8","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected browser feature \"text-decoration\" is only partially supported by Obsidian 1.5.8 (2 occurrences)","src/styles.css:408","Unexpected browser feature \"text-decoration\" is only partially supported by Obsidian 1.5.8","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected duplicate \"touch-action\" (2 occurrences)","src/styles/leaflet.css:215","Unexpected duplicate \"touch-action\"","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected duplicate \"background\" (2 occurrences)","src/styles/leaflet.css:594","Unexpected duplicate \"background\"","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","CSS Styles","Unexpected duplicate \"margin\" (1 occurrence)","src/styles/leaflet.css:674","Unexpected duplicate \"margin\"","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Source code","Obsidian's configuration folder is not necessarily .obsidian; use Vault#configDir (1 occurrence)","General / Vault Configuration","Obsidian's configuration folder is not necessarily .obsidian; it can be configured by the user. Use Vault#configDir to get current value","Warning"
"PakCLI Table","1.0.28","Obsidian-Official-Community","Dependencies","Dependency has a potential vulnerability advisory: underscore (1 occurrence)","package.json","Dependency has a potential vulnerability advisory underscore. Upgrade to a version outside the vulnerable range (<=1.13.7)","Warning"
